"Emissions of Fluorinated Gases, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
HFC-134a,0.000005148,0.000012584,1.201881824,5.191190576,13.409248995999999,28.894299148,39.119673735999996,49.08225107500001,55.52118529100001,62.383544509000004,68.622289879,73.996988923,76.376414257,78.08075132,79.533911457,80.15475339300002,82.2053259885,84.15269755749998,86.43830395199998,89.0783351315,89.1469333755,84.90679575950001,80.6112038875,76.1980133915,74.5645936035,73.3275924095,68.9159657615,64.15327347,61.131488274999995,59.860349563300005
HFC-125,0.0001386,0.0003388,0.0006468,0.12017635,0.3182333,0.67191075,1.1402937,1.755474,2.29129425,2.9955894499999998,3.57288155,4.3296701,5.23171215,6.2182148,7.22504335,9.03154819,11.345146925,14.343899255,17.56007897,21.159655545000003,25.261189065,29.198559775,32.785661125,36.442903875,40.026858515,43.402764335,46.946771865,50.14546621,53.76678545,58.518261235
HFC-143a,0.000209196,0.000511368,0.000976248,0.073021026,0.202577718,0.50404167,0.934702032,1.54198014,2.22843357,3.173885952,3.899450988,4.800712056,5.805158604,6.836196288,7.772251836,9.356369772,11.085074328,13.045884528,15.276386814,17.83666335,20.21485086,22.31493285,24.121826646,25.681691256,26.853777108,27.616238418,28.249773306,28.001762508,27.662321436,27.845996418
Other HFCs and PFCs,0.22740361976490003,0.4786282715899,0.4834599138149,0.49350063978110004,0.5328553612767,1.7508536902246998,3.2879494961124003,3.9874476950476,4.663042764027701,4.893138562724601,4.731667500065201,4.7477516214186,5.493329293459,6.3677783921271995,6.868023998093101,7.336838351976398,7.733706898924,8.2002229714751,8.6340380511524,9.2553554187341,9.950924915765398,10.6536413802995,11.346244798555901,12.029717392576801,12.6912029285167,14.083825450036802,15.0178594024625,15.968756901711302,16.3675713481693,16.485844762212402
HFC-32,0,0,0,0,0,0,0.00027675,0.000783,0.001663875,0.00321975,0.014808555,0.0368496675,0.071848755,0.1188633825,0.181009215,0.2681905275,0.4349612925,0.623149605,0.8204293575,1.0546335675,1.46180187,1.87563978,2.32345503,2.8285878375,3.376114155,3.9439597275,4.590780975,5.293161405,6.0397674975,6.81355563075
Sulfur hexafluoride (SF6),28.845725549640004,27.62354468472,27.82874001984,27.37691481384,26.07097809192,24.86594363868,24.29470161096,22.6709801238,19.93291269048,19.669474306199998,16.57487912784,15.404171162159999,14.1888552792,13.8614230428,12.49528440972,11.80305575748,10.51132352904,9.2456149242,8.40325444164,7.291978285199999,7.288638878640001,8.20769171892,6.92174545104,6.513762447119999,6.557409497159999,5.490036154319999,6.02078923296,5.873719435800001,5.69485773588,5.902909331879999
HFC-23,46.28865732028,41.61790378036,46.2330289288,42.13346911968,40.19762831456,42.086831664559995,39.824545717279996,38.49850451992,50.48554570488,39.02116011152,36.53470133332,25.19818139816,26.91957301528,15.7788092998,22.02358541192,20.25568682092,17.77243941924,21.75057666432,17.46337804776,6.997613867440001,8.2686661458,9.08187953024,5.81235969916,4.39071306664,5.36243203276,4.61180264464,3.16765283412,5.55169826448,3.6813199180400002,4.057653581
PFC-14 (Perfluoromethane),18.766219874578,15.97650326814,14.737367469107,14.459770339003999,12.908544798439001,13.014212719824,13.80228688241,12.488591030008001,10.934233770761999,10.827163067753002,10.878589593708,4.9221212404929995,6.457226375468,4.875926190869,3.911337602429,3.985297850143,3.727239741108,5.010005984857,3.815041945823,2.4382634098850002,2.669723141971,4.343624669707001,3.828289781557,3.765805249794,3.55624748093,3.152865024112,2.55014138475,2.3887057188600003,2.975650903451,3.038907342884
PFC-116 (Perfluoroethane),5.4858762841,4.93237918842,4.7401441898,5.02037822152,5.05154301172,5.6200504872,6.05835741426,5.77136578058,6.035429579720001,6.0738988869,4.883019797679999,3.19982000038,3.6434166485799997,3.08598920944,2.76296927264,2.5227156315599997,2.5904702786800002,2.81814117282,2.32217144596,1.5239518992199999,1.9009646208400002,2.74956543276,2.41187972224,2.20184764788,2.00412770128,1.85092726268,1.6552526460800001,1.53962836974,1.5513644927999999,1.2948010426
HFC-236fa,0,0,0,0.0707301,0.2137599,0.3552201,0.4435101,0.5384709,0.6328431,0.7274115,0.8153091,0.896634,0.9710919,1.0390752,1.1004858,1.1549312999999999,1.2030003,1.2441042,1.2786354,1.3063977,1.3354353,1.3652577,1.3960611,1.4444244,1.4259816,1.318464,1.2652938,1.2128103000000001,1.1541465,1.1034288
Nitrogen trifluoride (NF3),0.04792157532,0.04792157532,0.04792157532,0.05990197044,0.06589216628,0.08323713132,0.0924317422,0.0976818702,0.119775167,0.12154298644,0.20424469208,0.2272808086,0.55448971796,0.52979813584,0.5470434458,0.49071858,0.69595452184,0.56811856796,0.58933271084,0.46822520948,0.55769097508,0.56891950144,0.57273205688,0.49857822664,0.51656337912,0.56644352532,0.56948052244,0.59454485264,0.61697740912,0.60512322416
PFC-218 (Perfluoropropane),0.003575384439,0.003575384439,0.003575384439,0.004469231211,0.004916153714,0.006210245843,0.00689624766,0.007287954407,0.008936314966,0.009068210442,0.16021779813,0.127802679168,0.093828591035,0.134159474755,0.0807199748,0.079222245211,0.092244101398,0.110339793907,0.154835446023,0.088163273631,0.120691375092,0.167021812025,0.102222691021,0.099507986108,0.136703931087,0.13857641294,0.126054099875,0.103324019835,0.107143225298,0.090493297828
Perfluorocyclobutane,0,0,0,0,0,0,0,0,0,0,0.00211711556,0.00262049819,0.05724240141,0.08747709042,0.08406564184,0.11763778732,0.11700655388,0.06463362682,0.06556663481,0.03705455488,0.04215663104,0.04778644521,0.05159171635,0.05175563364,0.0614618716,0.05924248528,0.05629533907,0.05939877748,0.06141360889,0.0574270423
Total,99.66573255212191,90.6813189049889,95.27774235312091,95.00352238747611,98.9761778119097,117.8528112456517,129.00562542888238,136.4408180889626,152.8552960778357,149.89909729297958,150.89417703038322,137.89060415506958,145.864186988392,137.01446182655118,144.5857314152421,146.5569662071104,149.51389387811,161.1773888518591,162.8214532175084,158.53629121247013,168.2196671547284,175.48131635510148,172.2852737053039,172.14730841039878,177.1334738039537,179.5627378493288,179.13211116925748,180.8862502335463,180.81080780014827,185.67475127191437
